g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,149,0.016629100984808,0.016629100984808,-4.0966010470817,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,150,0.016432338172964,0.016432338172964,-4.1085040458614,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,151,0.016240860342681,0.016240860342681,-4.1202249688858,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,152,0.016053185319114,0.016053185319114,-4.131847986847,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,153,0.015870234835981,0.015870234835981,-4.143309947075,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,154,0.015691081461396,0.015691081461396,-4.1546627878187,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,155,0.015515888113317,0.015515888113317,-4.1658907404824,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,156,0.015345813403129,0.015345813403129,-4.1769125846171,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,157,0.015179315966927,0.015179315966927,-4.1878215694972,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,158,0.015016947457474,0.015016947457474,-4.1985758851598,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,159,0.014857991546339,0.014857991546339,-4.2092174072163,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,160,0.014702679430426,0.014702679430426,-4.2197255276287,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,1,0.11015852216052,0.11015852216052,-2.2058348400428,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,2,0.10821560646987,0.10821560646987,-2.2236296857263,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,3,0.10584788715071,0.10584788715071,-2.2457522423874,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,4,0.10335874557099,0.10335874557099,-2.269549375525,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,5,0.10090825418762,0.10090825418762,-2.2935435493429,1,160
0.5,200,-177.08137752568,nan,nan,nan,71.363300628106,0.014012804777785,nan,nan,20,2,2,6,0.098574169969152,0.098574169969152,-2.3169460195516,1,160
